id,parent_id,parent_ids,name,href,target,icon,sort,is_show,permission,remarks,create_by,create_date,update_by,update_date,del_flag
1,0,"0,",功能菜单,,,,0,1,,,1,"2019-08-01",1,"2019-08-01",0
2,1,"0,1,",系统设置,,,,900,1,,,1,"2019-08-01",1,"2019-08-01",0
3,2,"0,1,2,",系统设置,,,,980,1,,,1,"2019-08-01",1,"2019-08-01",0
4,3,"0,1,2,3,",菜单管理,/sys/menu/,,list-alt,30,1,,,1,"2019-08-01",1,"2019-08-01",0
5,4,"0,1,2,3,4,",查看,,,,30,0,sys:menu:view,,1,"2019-08-01",1,"2019-08-01",0
6,4,"0,1,2,3,4,",修改,,,,40,0,sys:menu:edit,,1,"2019-08-01",1,"2019-08-01",0
7,3,"0,1,2,3,",角色管理,/sys/role/,,lock,50,1,,,1,"2019-08-01",1,"2019-08-01",0
8,7,"0,1,2,3,7,",查看,,,,30,0,sys:role:view,,1,"2019-08-01",1,"2019-08-01",0
9,7,"0,1,2,3,7,",修改,,,,40,0,sys:role:edit,,1,"2019-08-01",1,"2019-08-01",0
10,3,"0,1,2,3,",字典管理,/sys/dict/,,th-list,60,1,,,1,"2019-08-01",1,"2019-08-01",0
11,10,"0,1,2,3,10,",查看,,,,30,0,sys:dict:view,,1,"2019-08-01",1,"2019-08-01",0
12,10,"0,1,2,3,10,",修改,,,,40,0,sys:dict:edit,,1,"2019-08-01",1,"2019-08-01",0
13,2,"0,1,2,",机构用户,,,,970,1,,,1,"2019-08-01",1,"2019-08-01",0
14,13,"0,1,2,13,",区域管理,/sys/area/,,th,50,1,,,1,"2019-08-01",1,"2019-08-01",0
15,14,"0,1,2,13,14,",查看,,,,30,0,sys:area:view,,1,"2019-08-01",1,"2019-08-01",0
16,14,"0,1,2,13,14,",修改,,,,40,0,sys:area:edit,,1,"2019-08-01",1,"2019-08-01",0
17,13,"0,1,2,13,",机构管理,/sys/office/,,th-large,40,1,,,1,"2019-08-01",1,"2019-08-01",0
18,17,"0,1,2,13,17,",查看,,,,30,0,sys:office:view,,1,"2019-08-01",1,"2019-08-01",0
19,17,"0,1,2,13,17,",修改,,,,40,0,sys:office:edit,,1,"2019-08-01",1,"2019-08-01",0
20,13,"0,1,2,13,",用户管理,/sys/user/index,,user,30,1,,,1,"2019-08-01",1,"2019-08-01",0
21,20,"0,1,2,13,20,",查看,,,,30,0,sys:user:view,,1,"2019-08-01",1,"2019-08-01",0
22,20,"0,1,2,13,20,",修改,,,,40,0,sys:user:edit,,1,"2019-08-01",1,"2019-08-01",0
23,2,"0,1,2,",关于帮助,,,,990,0,,,1,"2019-08-01",1,"2019-08-01",0
24,23,"0,1,2,23",官方首页,http://jeesite.com,_blank,,30,0,,,1,"2019-08-01",1,"2019-08-01",0
